State/UT,Year,Estimated Mortality cases
Jammu and Kashmir,2020,7027
Jammu and Kashmir,2021,7211
Jammu and Kashmir,2022,7396
Ladakh,2020,162
Ladakh,2021,166
Ladakh,2022,171
Himachal Pradesh,2020,4856
Himachal Pradesh,2021,4953
Himachal Pradesh,2022,5058
Punjab,2020,22276
Punjab,2021,22786
Punjab,2022,23301
Chandigarh,2020,564
Chandigarh,2021,582
Chandigarh,2022,598
Uttaranchal,2020,6337
Uttaranchal,2021,6500
Uttaranchal,2022,6655
Haryana,2020,16109
Haryana,2021,16543
Haryana,2022,16997
Delhi,2020,14057
Delhi,2021,14494
Delhi,2022,14917
Rajasthan,2020,39111
Rajasthan,2021,40117
Rajasthan,2022,41167
Uttar Pradesh,2020,111491
Uttar Pradesh,2021,114128
Uttar Pradesh,2022,116818
Bihar,2020,57531
Bihar,2021,59043
Bihar,2022,60629
Sikkim,2020,276
Sikkim,2021,288
Sikkim,2022,308
Arunachal Pradesh,2020,635
Arunachal Pradesh,2021,655
Arunachal Pradesh,2022,670
Nagaland,2020,1008
Nagaland,2021,1029
Nagaland,2022,1060
Manipur,2020,1105
Manipur,2021,1175
Manipur,2022,1220
Mizoram,2020,1183
Mizoram,2021,1231
Mizoram,2022,1271
Tripura,2020,1571
Tripura,2021,1600
Tripura,2022,1651
Meghalaya,2020,1887
Meghalaya,2021,1928
Meghalaya,2022,1980
Assam,2020,22824
Assam,2021,23395
Assam,2022,23974
West Bengal,2020,59786
West Bengal,2021,61213
West Bengal,2022,62652
Jharkhand,2020,18716
Jharkhand,2021,19241
Jharkhand,2022,19766
Orissa,2020,28024
Orissa,2021,28656
Orissa,2022,29287
Chhattisgarh,2020,15279
Chhattisgarh,2021,15666
Chhattisgarh,2022,16057
Madhya Pradesh,2020,42966
Madhya Pradesh,2021,44056
Madhya Pradesh,2022,45176
Gujarat,2020,38306
Gujarat,2021,39328
Gujarat,2022,40356
Daman,2020,66
Daman,2021,70
Daman,2022,77
Dadra and Nagar Haveli,2020,109
Dadra and Nagar Haveli,2021,117
Dadra and Nagar Haveli,2022,128
Maharashtra,2020,63797
Maharashtra,2021,65326
Maharashtra,2022,66879
Telangana,2020,26038
Telangana,2021,26681
Telangana,2022,27339
Andhra Pradesh,2020,38582
Andhra Pradesh,2021,39443
Andhra Pradesh,2022,40307
Karnataka,2020,47113
Karnataka,2021,48290
Karnataka,2022,49516
Goa,2020,893
Goa,2021,909
Goa,2022,932
Lakshadweep,2020,13
Lakshadweep,2021,14
Lakshadweep,2022,14
Kerala,2020,31166
Kerala,2021,31713
Kerala,2022,32271
Tamil Nadu,2020,48314
Tamil Nadu,2021,49571
Tamil Nadu,2022,50841
Pondicherry,2020,852
Pondicherry,2021,879
Pondicherry,2022,905
Andaman and Nicobar Islands,2020,200
Andaman and Nicobar Islands,2021,205
Andaman and Nicobar Islands,2022,214
